SEASON,PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
2024-25,Taj Gibson,CHA,0.16587941874639123,7.045735475896168,0.44,10.39,37,11.05,180.0,4.86
2023-24,Javon Freeman-Liberty,TOR,0.16483688330018606,6.9221260815822,0.44,10.24,22,18.32,177.0,8.05
2024-25,Trevelin Queen,ORL,0.16482485404503752,6.798516687268233,0.43,10.93,31,13.88,186.5,6.02
2024-25,Baylor Scheierman,BOS,0.1614312675092492,6.6749072929542645,0.44,9.75,31,12.38,167.0,5.39
2023-24,Mike Muscala,OKC,0.1611960287419003,6.551297898640297,0.36,15.25,53,11.32,217.5,4.1
2023-24,Lester Quinones,GSW,0.15850013900472615,6.427688504326329,0.43,10.02,37,10.66,171.5,4.64
2023-24,Nassir Little,PHX,0.1553364449006651,6.30407911001236,0.4,11.64,45,10.18,183.0,4.07
2023-24,Jaden Springer,BOS,0.15433935330724322,6.180469715698393,0.38,12.88,49,10.35,192.0,3.92
2024-25,Devin Carter,SAC,0.15397045614935523,6.056860321384425,0.42,10.06,36,11.0,165.0,4.58
2023-24,Ousmane Dieng,OKC,0.1532874617737003,5.933250927070458,0.43,9.27,33,11.06,156.5,4.74
2023-24,Shake Milton,NYK,0.15305222300635143,5.80964153275649,0.35,14.77,48,12.11,203.5,4.24
2024-25,Dillon Jones,OKC,0.15257773571993752,5.686032138442522,0.36,14.01,54,10.21,200.0,3.7
2023-24,Ish Smith,CHA,0.1523545262077372,5.562422744128554,0.29,18.82,43,17.23,212.0,4.93
2024-25,Jaylen Clark,MIN,0.152172750796604,5.438813349814586,0.37,13.26,40,13.05,193.0,4.82
2024-25,Cody Williams,UTA,0.15095913261050878,5.315203955500618,0.17,26.92,50,21.19,185.0,3.7
2024-25,Jett Howard,ORL,0.1501424798443147,5.19159456118665,0.3,17.81,60,11.69,207.0,3.45
2023-24,Devonte' Graham,SAS,0.14892084215478713,5.067985166872682,0.44,7.95,23,13.61,139.0,6.04
2024-25,Terrence Shannon Jr.,MIN,0.14870030581039756,4.944375772558715,0.43,8.61,32,10.59,146.0,4.56
2023-24,Evan Fournier,DET,0.14796652124633777,4.8207663782447465,0.34,14.73,32,18.11,197.5,6.17
2023-24,Stanley Umude,DET,0.14787830670858196,4.697156983930779,0.44,7.8,24,12.8,135.5,5.65
2023-24,Julian Strawther,DEN,0.14672750796604006,4.573547589616811,0.35,13.86,50,10.91,188.5,3.77
2023-24,Leaky Black,CHA,0.14384716964992195,4.449938195302843,0.44,7.22,26,10.93,126.0,4.85
2023-24,Andre Jackson Jr.,MIL,0.1418382840401189,4.326328800988875,0.33,14.54,57,10.04,186.5,3.27
2024-25,Jordan Miller,LAC,0.13904883342956736,4.202719406674907,0.38,10.68,37,11.36,161.5,4.36
2024-25,Gary Harris,ORL,0.1374569619982464,4.07911001236094,0.27,18.06,48,14.81,193.0,4.02
2024-25,Maxwell Lewis,BKN,0.13713885502876327,3.955500618046971,0.41,8.33,28,11.7,133.0,4.75
