PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,PCT_GAMES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
Nikola Jokić,DEN,0.9461101131465837,100.0,1.1728859060402683,67.54744966442952,91.18630872483223,149,35.62187919463087,6244.5,41.910805369127516
Shai Gilgeous-Alexander,OKC,0.8539850013008057,99.79423868312757,0.9951655629139071,65.42880794701986,92.07403973509933,151,34.11046357615894,5114.5,33.87132450331126
Giannis Antetokounmpo,MIL,0.8475342887674303,99.58847736625515,1.0447857142857144,61.836499999999994,85.52164285714285,140,34.68664285714286,5060.5,36.14807142857143
Domantas Sabonis,SAC,0.824761685426762,99.38271604938271,0.9007894736842106,68.55052631578947,93.2625,152,35.24486842105264,4843.5,31.864605263157895
Anthony Davis,DAL,0.7885916301564619,99.1769547325103,0.9759842519685039,58.45220472440944,80.44000000000001,127,34.690708661417325,4307.5,33.91606299212599
Luka Dončić,LAL,0.7861861255029515,98.97119341563786,1.0033333333333334,57.61166666666667,75.20750000000001,120,36.60666666666667,4420.0,36.835833333333326
LeBron James,LAL,0.7812734546533521,98.76543209876543,0.895177304964539,62.86035460992909,85.98432624113475,141,35.09120567375887,4420.5,31.35156028368794
Jayson Tatum,BOS,0.7767857649275975,98.559670781893,0.8350684931506849,66.93876712328766,89.03671232876711,146,36.090273972602745,4401.5,30.148219178082186
Anthony Edwards,MIN,0.7703948299899663,98.35390946502058,0.745,71.66499999999999,96.34,158,35.705000000000005,4188.0,26.509999999999998
Jarrett Allen,CLE,0.7566870939152962,98.14814814814815,0.8154716981132075,60.126666666666665,97.04591194968553,159,29.801509433962266,3867.5,24.328364779874214
Victor Wembanyama,SAS,0.7545122324593425,97.94238683127571,1.027863247863248,47.7265811965812,74.60247863247864,117,31.057863247863253,3730.5,31.881965811965813
Tyrese Haliburton,IND,0.7484661879680996,97.7366255144033,0.8537323943661972,59.4562676056338,86.65359154929578,142,32.918873239436614,3991.0,28.103521126760562
Stephen Curry,GSW,0.7467709333584736,97.53086419753086,0.8445833333333332,59.434583333333336,87.87263888888889,144,32.457499999999996,3952.5,27.449305555555554
James Harden,LAC,0.7370015789459095,97.32510288065843,0.736158940397351,66.99298013245033,92.26794701986755,151,34.823178807947016,3882.0,25.708874172185432
Kevin Durant,PHX,0.7333283617613031,97.11934156378601,0.7854744525547446,64.85386861313869,84.28700729927007,137,36.90226277372263,3972.5,28.994817518248176
Nikola Vučević,CHI,0.7312418896228596,96.91358024691358,0.7734899328859061,62.174765100671145,90.88684563758389,149,32.8065100671141,3757.5,25.221342281879195
Pascal Siakam,IND,0.7302564232282636,96.70781893004116,0.7101265822784809,66.14772151898734,96.35544303797468,158,32.94354430379747,3693.0,23.374936708860762
Bam Adebayo,MIA,0.7217911878490052,96.50205761316872,0.7295302013422817,64.81362416107382,91.05536912751678,149,34.160872483221475,3715.0,24.93496644295302
