SEASON,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FANTASY_POINTS,AVG_FANTASY_PPG,FANTASY_POINTS_PER_MIN,PCT_GAMES_PLAYED,AVG_MINUTES,PCT_MINUTES_PLAYED,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FTM,FTA,FG3M,OREB
2023-24,Adama Sanogo,CHI,9,65.76166666666667,56.0,6.22,0.85,10.98,7.31,1.67,36,36,0,1,0,5,5,14,27,8,12,0,19
2023-24,Olivier Sarr,OKC,15,98.20166666666667,55.5,3.7,0.57,18.29,6.55,2.49,34,36,2,0,7,3,18,11,19,10,15,2,10
2024-25,Jaylen Nowell,NOP,8,168.075,55.5,6.94,0.33,9.76,21.01,4.27,67,20,18,1,4,8,9,26,73,7,11,8,6
2024-25,Isaiah Jackson,IND,5,83.88,55.0,11.0,0.66,6.1,16.78,2.13,35,28,5,3,8,5,14,14,23,7,14,0,11
2024-25,Alex Ducas,OKC,21,125.34166666666667,55.0,2.62,0.44,25.61,5.97,3.18,36,26,5,5,0,4,12,12,30,2,2,10,9
2023-24,Harry Giles III,LAL,23,99.92,54.5,2.37,0.55,28.05,4.34,2.54,56,30,6,2,3,6,15,23,50,7,13,3,12
2024-25,Kevin Knox II,GSW,14,83.65666666666667,54.5,3.89,0.65,17.07,5.98,2.13,46,17,5,2,4,4,6,18,36,6,8,4,7
2023-24,Jahmi'us Ramsey,TOR,7,121.085,54.5,7.79,0.45,8.54,17.3,3.08,47,22,8,7,0,7,10,18,41,5,6,6,4
2023-24,Nathan Mensah,CHA,25,306.64166666666665,54.5,2.18,0.18,30.49,12.27,7.79,33,65,9,6,14,14,64,12,28,9,12,0,29
2024-25,Kobe Bufkin,ATL,10,123.63666666666667,54.0,5.4,0.44,12.2,12.36,3.14,53,21,17,3,2,8,9,18,47,13,18,4,5
2023-24,Moussa Diabaté,LAC,11,64.23833333333333,53.5,4.86,0.83,13.41,5.84,1.63,29,24,4,5,1,2,4,10,19,9,14,0,15
2023-24,Nate Hinton,HOU,15,74.55166666666666,53.0,3.53,0.71,18.29,4.97,1.89,33,22,10,3,2,3,11,11,26,4,5,7,7
2023-24,James Bouknight,CHA,14,80.9,52.5,3.75,0.65,17.07,5.78,2.06,50,9,6,1,1,2,3,18,41,1,2,13,1
2023-24,Leonard Miller,MIN,17,52.4,52.0,3.06,0.99,20.73,3.08,1.33,29,20,8,2,1,1,5,13,20,1,2,2,5
2023-24,Trevelin Queen,ORL,14,164.72666666666666,51.5,3.68,0.31,17.07,11.77,4.19,40,20,18,7,5,7,15,14,38,9,12,3,3
2023-24,Zavier Simpson,MEM,7,161.38333333333333,50.0,7.14,0.31,8.54,23.05,4.1,42,20,25,7,3,10,11,17,54,3,4,5,4
2024-25,Oshae Brissett,PHI,6,142.24166666666667,50.0,8.33,0.35,7.32,23.71,3.61,52,22,4,4,3,8,14,19,39,8,14,6,7
2023-24,Jalen Pickett,DEN,27,121.78833333333333,49.5,1.83,0.41,32.93,4.51,3.09,42,14,21,4,0,9,13,15,35,3,4,9,1
2024-25,Chris Duarte,CHI,17,74.46833333333333,49.5,2.91,0.66,20.73,4.38,1.89,36,20,9,0,0,1,7,12,26,6,8,6,5
2023-24,Terquavion Smith,PHI,16,84.49666666666667,48.0,3.0,0.57,19.51,5.28,2.15,52,4,12,8,0,7,8,18,46,3,5,13,0
2023-24,Udoka Azubuike,PHX,16,112.82833333333333,48.0,3.0,0.43,19.51,7.05,2.87,35,32,3,1,6,4,17,16,23,3,13,0,11
2024-25,Markieff Morris,LAL,15,164.43333333333334,47.0,3.13,0.29,18.29,10.96,4.18,56,23,21,2,3,5,16,21,70,5,6,9,3
2024-25,Adam Flagler,OKC,37,202.965,47.0,1.27,0.23,45.12,5.49,5.16,65,27,12,8,3,4,15,25,96,1,2,14,7
2023-24,Taj Gibson,DET,20,204.50333333333333,47.0,2.35,0.23,24.39,10.23,5.2,34,37,11,3,7,5,31,15,37,2,2,2,12
2024-25,Enrique Freeman,IND,22,181.205,46.5,2.11,0.26,26.83,8.24,4.6,46,30,9,3,3,6,21,16,37,13,19,1,11
2024-25,Chris Livingston,MIL,21,105.81,46.5,2.21,0.44,25.61,5.04,2.69,30,35,5,5,0,6,8,9,27,12,16,0,10
